科目名,先生,学期,学年,科目群,授業形態,単位数,評価,URL
国際経済論,前野高章,後期,,総合教育科目,対面授業,2,授業内テスト:複数回の小テストおよび講義最終回の確認テストから評価する。(70%)、授業参画度:複数回のリアクションペーパー等で評価する。(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95146.html
スポーツ文化論,城間修平,前期,,総合教育科目,遠隔授業（同時双方向型）,2,レポート:課題レポート(50%)、授業内テスト:各授業時の小テストも含む(50%) 毎回の授業内テストや課題の提出状況等を総合的に評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95147.html
スポーツ文化論,城間修平,後期,,総合教育科目,遠隔授業（同時双方向型）,2,レポート:課題レポート(50%)、授業内テスト:各授業時の小テストも含む(50%) 毎回の授業内テストや課題の提出状況等を総合的に評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95148.html
データアナリティクス,大川内隆朗,後期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート(50%)、毎週の小テストおよび小課題(50%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95149.html
ダイバーシティ＆インクルージョン 総合研究１～８（ダイバーシティ＆インクルージョン）,石岡丈昇,前期,,総合教育科目,対面授業（一部遠隔授業）,2,授業参画度:各教員の採点を総合して評価する(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95150.html
LGBTQを知る 総合研究１～８（LGBTQを知る）,郭立夫,後期,,総合教育科目,対面授業,2,レポート:期末レポート(100%) 期末レポートを100％にするが、出席率が70％以下の場合は、採点対象になりません。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95151.html
「障害」の科学 総合研究１～８（「障害」の科学）,田中謙,後期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート:期末レポート(90%)、授業参画度:学習状況の振り返りに関わる自己評価(10%) 授業内容の理解に関わる期末レポート（90%）、学習状況の振り返りに関わる自己評価（10%）により総合的に評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95152.html
数学,立井博子,後期,,総合教育科目,対面授業,2,"レポート:授業内で提出した課題の内容(30%)、授業内テスト:第１５回授業内テストの内容を評価する(70%) 授業参画度は毎回の課題で評価する． また各課題に対する取り組みを通じて (A-5)を評価する。 レポートは，議論の正確さと学習内容の理解度を中心に評価し，レポートを通じて(A-3,A-4)の達成度を評価． ［対面での参加が困難な場合の取り扱い］事前に教員に該当期間を連絡した上で授業資料のPDF配布．ただし事前連絡なしでの場合は原則遅延扱い．修了レポートはオンライン提出可． 授業内テスト:最終授業内試験結果(70%)、授業参画度:毎回の提出課題(30%) 授業内テスト70% と 授業参画度 30% の根拠は以下の通りです. (1) 授業内試験は, 100点満点の試験になります. (2) 授業参画度(いずれも質問応答の伝達欄あり)は第1回ガイダンスと第15回授業内試験を除く13回で毎回10点ですので, 合計230点満点になります. 以上により, パーセントを算出しました.",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95153.html
物理学,川上隆輝,前期,,総合教育科目,対面授業,2,授業内テスト:第15回のときに対面で学期末テストを行う。(30%)、授業参画度:第1回から第14回は，対面での授業に参加し，確認テストの答案を採点して総合的に判断する。(70%) 確認テストは期日を設けて提出してもらう。確認テストの提出が遅延になった場合は減点する。 教員の許可をもらってオンデマンド型で受講する学生は，授業の教材の視聴状況と確認テストの得点を総合的に評価して授業参画度とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95154.html
物理学,川上隆輝,後期,,総合教育科目,対面授業,2,授業内テスト:第15回のときに対面で学期末テストを行う。(30%)、授業参画度:第1回から第14回は，対面での授業に参加し，確認テストの答案を採点して総合的に判断する。(70%) 確認テストは期日を設けて提出してもらう。確認テストの提出が遅延になった場合は減点する。 教員の許可をもらってオンデマンド型で受講する学生は，授業の教材の視聴状況と確認テストの得点を総合的に評価して授業参画度とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95155.html
化学,柳川昭久,前期,,総合教育科目,対面授業,2,授業内テスト:授業内テストは小テスト、期末テスト等を合わせて評価する。(40%)、授業参画度:授業参画度は毎回の授業内課題等で評価する。(60%) 小テストまたは課題は授業の理解を深めるため毎回の授業において行う。理解できなかった設問については、復習において再度設問の解答を完成させることでA-3、A-4の達成度を判定する。また課題の一部では、これまでの授業において疑問に思ったことや興味を持ったことについて、自らテーマを設定し、調べた内容をまとめたものを提出とする。この学習によって化学の基礎知識を深めることを重視している。基礎的な化学知識に基づいて自然科学に関する諸現象やさまざまな事象に潜む化学的な問題を発見し説明することができることを確認することでA-4の達成度を判定する。事情があり授業に参加できない学生については別途課題を与え、その内容から達成度を判定し、それらに基づいて成績を判定する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95156.html
生命科学,地引和也,前期,,総合教育科目,対面授業,2,授業内テスト:各回の小テストの得点率により評価する。(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95157.html
生命科学,地引和也,後期,,総合教育科目,対面授業,2,授業内テスト:各回の小テストの得点率により評価する。(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95158.html
